Format Version,1.1,Take Name,Take 2026-06-19 04.10.03 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-06-19 04.10.03.102 PM,Total Frames,36281,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker-10000,Marker-10000,Marker-10000,Marker-10001,Marker-10001,Marker-10001,Marker-10002,Marker-10002,Marker-10002
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702711","8392B20CF49E35702711","8392B20CF49E35702711","8392B20CF49E35702712","8392B20CF49E35702712","8392B20CF49E35702712"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
9814,81.783333,-1.505069,1.375207,0.883946,-1.524253,1.373627,0.860246,-1.548248,1.382569,0.878193
9815,81.791667,-1.505250,1.375637,0.885502,-1.524606,1.374136,0.861691,-1.548418,1.383027,0.879853
9816,81.800000,-1.505453,1.376104,0.887273,-1.524672,1.374955,0.863682,-1.548599,1.383503,0.881659
9817,81.808333,-1.505646,1.376578,0.889013,-1.524734,1.375751,0.865636,-1.548817,1.383983,0.883543
9818,81.816667,-1.505918,1.377107,0.890941,-1.524956,1.376491,0.867589,-1.549109,1.384487,0.885507
9819,81.825000,-1.506191,1.377672,0.892856,-1.525903,1.376826,0.868640,-1.549372,1.385018,0.887495
9820,81.833333,-1.506459,1.378176,0.894854,-1.526358,1.377449,0.870427,-1.549667,1.385545,0.889559
9821,81.841667,-1.506719,1.378693,0.896920,-1.526554,1.378352,0.872573,-1.549978,1.386023,0.891687
9822,81.850000,-1.506990,1.379177,0.898967,-1.526744,1.379054,0.874869,-1.550220,1.386534,0.893891
9823,81.858333,-1.507274,1.379685,0.901109,-1.526569,1.379985,0.877743,-1.550263,1.386719,0.896385
9824,81.866667,-1.507566,1.380159,0.903240,-1.526914,1.380629,0.879820,-1.550826,1.387490,0.898326
9825,81.875000,-1.507896,1.380626,0.905386,-1.527692,1.381115,0.881266,-1.551195,1.387934,0.900508
9826,81.883333,-1.508222,1.381091,0.907529,-1.528084,1.382054,0.883267,-1.551549,1.388345,0.902743
9827,81.891667,-1.508526,1.381507,0.909665,-1.528385,1.382670,0.885380,-1.551619,1.388444,0.905267
9828,81.900000,-1.508878,1.381904,0.911736,-1.528525,1.383395,0.887863,-1.552215,1.389108,0.907201
9829,81.908333,-1.509245,1.382280,0.913825,-1.529222,1.383874,0.889537,-1.552607,1.389426,0.909401
9830,81.916667,-1.509790,1.382661,0.915980,-1.529781,1.384469,0.891672,-1.553183,1.389720,0.911630
9831,81.925000,-1.510571,1.383083,0.918069,-1.530832,1.385198,0.893557,-1.553969,1.389967,0.913856
9832,81.933333,-1.511517,1.383467,0.920258,-1.531817,1.385746,0.895690,-1.554978,1.390190,0.916037
9833,81.941667,-1.512645,1.383868,0.922363,-1.532985,1.386270,0.897806,-1.556160,1.390374,0.918263
9834,81.950000,-1.513912,1.384282,0.924359,-1.534292,1.386801,0.899894,-1.557474,1.390561,0.920481
9835,81.958333,-1.515307,1.384689,0.926422,-1.535725,1.387285,0.901965,-1.558916,1.390710,0.922656
9836,81.966667,-1.516791,1.385081,0.928418,-1.537280,1.387825,0.904078,-1.560461,1.390803,0.924774
9837,81.975000,-1.518282,1.385410,0.930432,-1.538817,1.388251,0.906197,-1.562020,1.390890,0.926884
9838,81.983333,-1.519810,1.385725,0.932514,-1.540332,1.388622,0.908345,-1.563633,1.390924,0.929018
9839,81.991667,-1.521328,1.385992,0.934648,-1.541878,1.389044,0.910484,-1.565218,1.390928,0.931190
9840,82.000000,-1.522874,1.386272,0.936773,-1.543397,1.389391,0.912630,-1.566769,1.390908,0.933372
9841,82.008333,-1.524369,1.386510,0.938908,-1.544887,1.389724,0.914836,-1.568278,1.390879,0.935583
9842,82.016667,-1.525803,1.386755,0.941022,-1.546377,1.390044,0.917015,-1.569734,1.390840,0.937782
9843,82.025000,-1.527256,1.386971,0.943165,-1.547921,1.390334,0.919203,-1.571244,1.390706,0.940048
9844,82.033333,-1.528714,1.387130,0.945370,-1.549425,1.390577,0.921407,-1.572747,1.390576,0.942304
9845,82.041667,-1.530181,1.387304,0.947482,-1.550945,1.390781,0.923571,-1.574166,1.390405,0.944514
9846,82.050000,-1.531650,1.387432,0.949535,-1.552500,1.390964,0.925714,-1.575672,1.390194,0.946642
9847,82.058333,-1.533170,1.387507,0.951658,-1.554072,1.391100,0.927863,-1.577246,1.389959,0.948804
9848,82.066667,-1.534754,1.387527,0.953732,-1.555691,1.391213,0.930092,-1.578850,1.389637,0.951016
9849,82.075000,-1.536304,1.387488,0.955913,-1.557236,1.391288,0.932257,-1.580404,1.389346,0.953137
9850,82.083333,-1.537647,1.387373,0.958088,-1.558542,1.391338,0.934497,-1.581856,1.389071,0.955211
9851,82.091667,-1.538616,1.387227,0.960160,-1.559512,1.391405,0.936518,-1.582866,1.388781,0.957224
9852,82.100000,-1.539178,1.387110,0.962075,-1.560076,1.391446,0.938512,-1.583427,1.388608,0.959178
9853,82.108333,-1.539406,1.386936,0.963795,-1.560324,1.391482,0.940293,-1.583640,1.388399,0.961053
9854,82.116667,-1.539351,1.386769,0.965435,-1.559790,1.391788,0.942545,-1.583578,1.388209,0.962786
9855,82.125000,-1.539115,1.386542,0.966873,-1.559568,1.391743,0.944029,-1.583324,1.388062,0.964337
9856,82.133333,-1.538829,1.386380,0.968240,-1.559301,1.391773,0.945400,-1.583002,1.387902,0.965750
9857,82.141667,-1.538540,1.386199,0.969393,-1.558992,1.391791,0.946695,-1.582591,1.387772,0.967094
9858,82.150000,-1.538205,1.385965,0.970479,-1.558735,1.391763,0.947869,-1.582166,1.387658,0.968278
9859,82.158333,-1.537898,1.385824,0.971623,-1.558916,1.391542,0.948489,-1.581977,1.387481,0.969358
9860,82.166667,-1.537746,1.385599,0.972530,-1.558745,1.391506,0.949529,-1.581794,1.387355,0.970362
9861,82.175000,-1.537531,1.385503,0.973826,-1.558273,1.391660,0.951050,-1.581721,1.387079,0.971409
9862,82.183333,-1.537595,1.385140,0.974494,-1.558279,1.391621,0.952068,-1.581674,1.386933,0.972411
9863,82.191667,-1.537647,1.384968,0.975461,-1.558344,1.391551,0.953043,-1.581756,1.386780,0.973340
9864,82.200000,-1.537781,1.384865,0.976280,-1.558489,1.391497,0.953895,-1.581918,1.386605,0.974171
9865,82.208333,-1.538101,1.384844,0.976843,-1.558603,1.391505,0.954610,-1.581987,1.386526,0.974875
9866,82.216667,-1.538193,1.384773,0.977524,-1.558663,1.391466,0.955263,-1.581717,1.386756,0.976264
9867,82.225000,-1.538279,1.384624,0.977986,-1.559124,1.391188,0.955384,-1.581878,1.385926,0.976471
9868,82.233333,-1.538364,1.384479,0.978451,-1.559148,1.391107,0.955871,-1.581895,1.385814,0.976967
9869,82.241667,-1.538353,1.384345,0.978923,-1.559237,1.390998,0.956241,-1.581905,1.385676,0.977425
9870,82.250000,-1.538242,1.384234,0.979431,-1.559167,1.390947,0.956714,-1.581832,1.385576,0.977915
9871,82.258333,-1.537997,1.384171,0.980153,-1.559085,1.390900,0.957280,-1.581717,1.385456,0.978425
9872,82.266667,-1.537866,1.384075,0.980743,-1.558922,1.390841,0.957851,-1.581565,1.385352,0.979037
9873,82.275000,-1.537878,1.383793,0.981220,-1.558826,1.390739,0.958575,-1.581507,1.385169,0.979675
9874,82.283333,-1.537840,1.383494,0.982023,-1.558790,1.390627,0.959558,-1.581514,1.384957,0.980456
9875,82.291667,-1.537855,1.383239,0.983059,-1.558800,1.390546,0.960578,-1.581558,1.384730,0.981461
9876,82.300000,-1.537685,1.383037,0.984391,-1.559014,1.390480,0.961651,-1.581582,1.384439,0.982674
9877,82.308333,-1.537759,1.382655,0.985733,-1.558913,1.390245,0.963271,-1.581888,1.384431,0.983751
9878,82.316667,-1.537972,1.382139,0.987131,-1.558840,1.390167,0.965261,-1.581971,1.383994,0.985297
9879,82.325000,-1.538052,1.381700,0.989058,-1.558642,1.390170,0.967678,-1.581591,1.383960,0.987971
9880,82.333333,-1.538126,1.381344,0.991274,-1.558707,1.389958,0.969617,-1.581605,1.383532,0.989942
9881,82.341667,-1.538124,1.380906,0.992618,-1.558702,1.389849,0.971540,-1.582029,1.382717,0.990989
9882,82.350000,-1.538115,1.380640,0.994331,-1.558734,1.389706,0.973163,-1.582017,1.382447,0.992645
9883,82.358333,-1.537980,1.380227,0.995796,-1.559107,1.389182,0.973752,-1.582004,1.382228,0.994001
9884,82.366667,-1.537881,1.380015,0.996934,-1.559212,1.389148,0.974700,-1.581915,1.382009,0.995193
9885,82.375000,-1.537694,1.379836,0.997771,-1.558833,1.388974,0.975770,-1.581690,1.381906,0.996052
9886,82.383333,-1.537463,1.379735,0.998336,-1.558599,1.388920,0.976279,-1.581464,1.381836,0.996569
9887,82.391667,-1.537111,1.379620,0.998657,-1.558303,1.388902,0.976590,-1.581169,1.381822,0.996829
9888,82.400000,-1.536751,1.379565,0.998667,-1.557907,1.388923,0.976670,-1.580769,1.381866,0.996935
9889,82.408333,-1.536336,1.379533,0.998575,-1.557382,1.388914,0.976552,-1.580323,1.381928,0.996816
9890,82.416667,-1.535766,1.379508,0.998447,-1.556843,1.388954,0.976356,-1.579749,1.382055,0.996626
9891,82.425000,-1.535193,1.379427,0.998133,-1.556082,1.388989,0.976240,-1.579133,1.382230,0.996411
9892,82.433333,-1.534325,1.379359,0.998180,-1.555228,1.389047,0.976158,-1.578320,1.382380,0.996348
9893,82.441667,-1.533443,1.379302,0.998156,-1.554215,1.389058,0.976219,-1.577348,1.382606,0.996342
9894,82.450000,-1.532372,1.379267,0.998154,-1.553560,1.391256,0.976991,-1.576293,1.382753,0.996408
9895,82.458333,-1.531238,1.379198,0.998079,-1.551977,1.389222,0.976079,-1.575128,1.383012,0.996297
9896,82.466667,-1.530128,1.379222,0.997827,-1.550928,1.389362,0.975551,-1.573914,1.383300,0.996002
9897,82.475000,-1.528846,1.379283,0.997344,-1.549473,1.389385,0.975165,-1.572703,1.383669,0.995450
9898,82.483333,-1.527328,1.378982,0.996974,-1.548295,1.389601,0.974299,-1.571347,1.384052,0.994765
9899,82.491667,-1.525913,1.379018,0.996140,-1.546784,1.389685,0.973387,-1.569938,1.384485,0.993844
9900,82.500000,-1.524427,1.379049,0.995198,-1.545156,1.389814,0.972479,-1.568390,1.384917,0.992936
9901,82.508333,-1.522906,1.379089,0.994216,-1.543344,1.389837,0.971550,-1.566795,1.385317,0.991877
9902,82.516667,-1.521234,1.379143,0.993192,-1.541551,1.389938,0.970500,-1.565011,1.385743,0.990856
9903,82.525000,-1.519477,1.379149,0.992173,-1.539592,1.389986,0.969381,-1.563190,1.386126,0.989785
9904,82.533333,-1.517556,1.379122,0.991096,-1.537561,1.389986,0.968233,-1.561174,1.386489,0.988645
9905,82.541667,-1.515532,1.379009,0.990150,-1.535423,1.390009,0.967216,-1.559046,1.386855,0.987609
9906,82.550000,-1.513476,1.378895,0.989256,-1.533191,1.389937,0.966217,-1.556895,1.387111,0.986577
9907,82.558333,-1.511233,1.378712,0.988387,-1.530869,1.389870,0.965325,-1.554573,1.387394,0.985639
9908,82.566667,-1.508889,1.378488,0.987507,-1.528443,1.389773,0.964332,-1.552200,1.387647,0.984772
9909,82.575000,-1.506724,1.378559,0.986248,-1.526003,1.389656,0.963417,-1.549768,1.387862,0.983844
9910,82.583333,-1.504301,1.378214,0.985323,-1.523478,1.389466,0.962490,-1.547287,1.388039,0.982894
9911,82.591667,-1.501866,1.377909,0.984539,-1.521056,1.389269,0.961569,-1.544809,1.388159,0.982064
9912,82.600000,-1.499558,1.377517,0.983692,-1.518586,1.389035,0.960722,-1.542401,1.388265,0.981227
9913,82.608333,-1.497210,1.377154,0.982851,-1.516122,1.388768,0.959823,-1.539963,1.388405,0.980287
9914,82.616667,-1.494885,1.376738,0.982165,-1.513656,1.388447,0.959006,-1.537510,1.388464,0.979424
9915,82.625000,-1.492610,1.376261,0.981385,-1.511218,1.388153,0.958242,-1.535003,1.388491,0.978669
9916,82.633333,-1.490383,1.375859,0.980613,-1.508831,1.387779,0.957429,-1.532619,1.388521,0.977899
9917,82.641667,-1.488117,1.375395,0.979844,-1.506438,1.387449,0.956552,-1.530246,1.388525,0.977049
9918,82.650000,-1.485957,1.374899,0.978916,-1.504160,1.387065,0.955625,-1.527930,1.388534,0.976102
9919,82.658333,-1.483955,1.374123,0.977514,-1.502037,1.386433,0.954181,-1.525684,1.388474,0.975204
9920,82.666667,-1.481882,1.373970,0.977155,-1.499845,1.386292,0.953806,-1.523534,1.388378,0.974280
9921,82.675000,-1.479972,1.373500,0.976164,-1.497849,1.385889,0.952776,-1.521520,1.388318,0.973243
9922,82.683333,-1.478105,1.373032,0.975196,-1.495898,1.385517,0.951741,-1.519533,1.388276,0.972219
9923,82.691667,-1.476344,1.372680,0.974225,-1.494029,1.385109,0.950647,-1.517582,1.388239,0.971138
9924,82.700000,-1.474765,1.372302,0.973109,-1.492426,1.384795,0.949591,-1.515875,1.388127,0.970025
9925,82.708333,-1.473562,1.372077,0.972110,-1.491226,1.384534,0.948610,-1.514594,1.388061,0.969053
9926,82.716667,-1.472910,1.372017,0.971221,-1.490460,1.384467,0.947776,-1.513885,1.388093,0.968115
9927,82.725000,-1.472876,1.371820,0.969822,-1.490482,1.384121,0.946181,-1.513759,1.388172,0.967175
9928,82.733333,-1.473006,1.372364,0.969577,-1.490741,1.384460,0.945845,-1.514069,1.388298,0.966310
9929,82.741667,-1.473811,1.372330,0.968232,-1.491495,1.384376,0.944531,-1.514724,1.388529,0.965512
9930,82.750000,-1.474390,1.373005,0.968239,-1.492260,1.384831,0.944493,-1.515575,1.388742,0.964905
9931,82.758333,-1.475400,1.373310,0.967769,-1.493235,1.385039,0.944068,-1.516551,1.388898,0.964434
9932,82.766667,-1.476333,1.373639,0.967517,-1.494220,1.385293,0.943812,-1.517531,1.389038,0.964150
9933,82.775000,-1.477241,1.373599,0.966839,-1.495134,1.385206,0.943082,-1.518444,1.389176,0.964003
9934,82.783333,-1.477825,1.374175,0.967254,-1.495790,1.385662,0.943512,-1.519220,1.389225,0.963921
9935,82.791667,-1.478412,1.374391,0.967136,-1.496380,1.385732,0.943388,-1.519890,1.389321,0.963915
9936,82.800000,-1.478818,1.374530,0.967030,-1.496725,1.385921,0.943408,-1.520339,1.389400,0.963826
9937,82.808333,-1.479054,1.374632,0.966888,-1.497064,1.385920,0.943081,-1.520615,1.389487,0.963656
9938,82.816667,-1.479134,1.374701,0.966670,-1.497196,1.385932,0.942846,-1.520695,1.389530,0.963400
9939,82.825000,-1.479099,1.374745,0.966315,-1.497176,1.385934,0.942441,-1.520651,1.389564,0.963049
9940,82.833333,-1.478991,1.374784,0.965845,-1.497020,1.385913,0.941956,-1.520490,1.389648,0.962536
9941,82.841667,-1.478951,1.374523,0.964810,-1.496945,1.385689,0.940921,-1.520344,1.389689,0.962001
9942,82.850000,-1.478703,1.374872,0.964795,-1.496747,1.385880,0.940859,-1.520182,1.389719,0.961395
9943,82.858333,-1.478605,1.374911,0.964246,-1.496678,1.385824,0.940265,-1.520024,1.389783,0.960798
9944,82.866667,-1.478543,1.374955,0.963715,-1.496535,1.385869,0.939858,-1.519960,1.389855,0.960216
9945,82.875000,-1.478550,1.375011,0.963132,-1.496643,1.385806,0.939143,-1.519956,1.389906,0.959685
9946,82.883333,-1.478622,1.375123,0.962559,-1.496677,1.385944,0.938742,-1.520097,1.389992,0.959125
9947,82.891667,-1.478797,1.375257,0.962116,-1.496992,1.385874,0.938056,-1.520293,1.390067,0.958595
9948,82.900000,-1.479156,1.375416,0.961552,-1.497333,1.385956,0.937550,-1.520674,1.390180,0.958070
9949,82.908333,-1.479625,1.375628,0.961094,-1.497345,1.386393,0.937643,-1.521124,1.390263,0.957567
9950,82.916667,-1.480015,1.375935,0.960702,-1.498258,1.386210,0.936631,-1.521671,1.390403,0.957007
9951,82.925000,-1.480538,1.376176,0.960120,-1.498401,1.386574,0.936495,-1.522248,1.390517,0.956390
9952,82.933333,-1.481087,1.376351,0.959293,-1.498953,1.386698,0.935714,-1.522758,1.390647,0.955649
9953,82.941667,-1.481509,1.376502,0.958529,-1.499333,1.386719,0.934884,-1.523216,1.390752,0.954850
9954,82.950000,-1.481819,1.376642,0.957708,-1.500046,1.386475,0.933620,-1.523585,1.390832,0.953995
9955,82.958333,-1.482083,1.376759,0.956760,-1.500348,1.386501,0.932675,-1.523850,1.390893,0.953067
9956,82.966667,-1.482302,1.376913,0.955845,-1.500658,1.386402,0.931520,-1.524052,1.390980,0.952046
9957,82.975000,-1.482461,1.377051,0.954800,-1.500844,1.386381,0.930426,-1.524200,1.391056,0.950957
9958,82.983333,-1.482622,1.377183,0.953700,-1.501042,1.386360,0.929238,-1.524352,1.391173,0.949735
9959,82.991667,-1.482840,1.377310,0.952484,-1.501288,1.386307,0.928014,-1.524585,1.391205,0.948445
9960,83.000000,-1.483101,1.377469,0.951192,-1.501614,1.386281,0.926715,-1.524851,1.391277,0.947104
9961,83.008333,-1.483441,1.377638,0.949893,-1.501928,1.386230,0.925334,-1.525208,1.391375,0.945751
9962,83.016667,-1.483795,1.377761,0.948547,-1.502346,1.386199,0.923962,-1.525608,1.391400,0.944350
9963,83.025000,-1.484219,1.377946,0.947190,-1.502818,1.386156,0.922500,-1.526060,1.391430,0.942868
9964,83.033333,-1.484662,1.378104,0.945593,-1.503285,1.386053,0.920911,-1.526542,1.391520,0.941309
9965,83.041667,-1.485144,1.378258,0.944012,-1.503555,1.385803,0.919597,-1.527043,1.391557,0.939667
9966,83.050000,-1.485711,1.378447,0.942402,-1.504152,1.385698,0.917898,-1.527628,1.391565,0.937947
9967,83.058333,-1.486325,1.378587,0.940647,-1.505130,1.385799,0.915904,-1.528263,1.391594,0.936195
9968,83.066667,-1.487103,1.378793,0.938912,-1.505736,1.385566,0.914374,-1.529120,1.391560,0.934391
9969,83.075000,-1.488033,1.379051,0.937077,-1.506665,1.385406,0.912551,-1.530095,1.391592,0.932513
9970,83.083333,-1.489149,1.379297,0.935244,-1.507868,1.385351,0.910734,-1.531271,1.391575,0.930575
9971,83.091667,-1.490351,1.379533,0.933433,-1.509139,1.385286,0.908818,-1.532541,1.391513,0.928651
9972,83.100000,-1.491577,1.379738,0.931485,-1.510402,1.385098,0.906865,-1.533858,1.391471,0.926691
9973,83.108333,-1.492840,1.379956,0.929522,-1.511538,1.385086,0.905208,-1.534970,1.391069,0.924983
9974,83.116667,-1.494222,1.380145,0.927448,-1.513218,1.384832,0.902830,-1.536647,1.391243,0.922620
9975,83.125000,-1.495601,1.380322,0.925408,-1.514672,1.384634,0.900716,-1.538158,1.391071,0.920434
9976,83.133333,-1.497022,1.380441,0.923265,-1.516173,1.384402,0.898596,-1.539618,1.390897,0.918224
9977,83.141667,-1.498459,1.380571,0.921176,-1.517732,1.383704,0.896455,-1.541150,1.390652,0.916013
9978,83.150000,-1.499872,1.380636,0.918998,-1.519244,1.383414,0.894242,-1.542651,1.390380,0.913783
9979,83.158333,-1.501295,1.380666,0.916704,-1.520583,1.383148,0.892182,-1.544156,1.390083,0.911525
9980,83.166667,-1.502748,1.380668,0.914572,-1.521895,1.382893,0.890275,-1.545695,1.389735,0.909294
9981,83.175000,-1.504141,1.380635,0.912340,-1.523523,1.382375,0.887749,-1.547163,1.389371,0.907031
9982,83.183333,-1.505479,1.380537,0.909985,-1.524955,1.381962,0.885525,-1.548617,1.388970,0.904769
9983,83.191667,-1.506879,1.380477,0.907754,-1.526390,1.381446,0.883255,-1.550050,1.388546,0.902488
9984,83.200000,-1.508307,1.380390,0.905439,-1.527737,1.380965,0.881170,-1.551497,1.388071,0.900179
9985,83.208333,-1.509753,1.380264,0.903127,-1.528952,1.380566,0.879319,-1.553035,1.387532,0.897795
9986,83.216667,-1.511157,1.380073,0.900848,-1.530354,1.379988,0.877155,-1.554544,1.386973,0.895395
9987,83.225000,-1.512528,1.379838,0.898429,-1.531701,1.379323,0.874854,-1.555999,1.386428,0.893057
9988,83.233333,-1.513904,1.379587,0.896021,-1.533055,1.378709,0.872467,-1.557095,1.385538,0.890968
9989,83.241667,-1.515191,1.379235,0.893760,-1.534327,1.378006,0.870320,-1.558466,1.384886,0.888656
9990,83.250000,-1.516413,1.378862,0.891495,-1.536042,1.377075,0.867387,-1.560006,1.384508,0.886115
9991,83.258333,-1.517589,1.378494,0.889246,-1.536792,1.376550,0.865854,-1.561191,1.383865,0.883859
9992,83.266667,-1.518685,1.378120,0.887089,-1.537882,1.375851,0.863788,-1.562312,1.383206,0.881707
9993,83.275000,-1.519664,1.377731,0.885036,-1.539528,1.374879,0.860936,-1.563388,1.382571,0.879632
9994,83.283333,-1.520616,1.377363,0.883147,-1.539850,1.374465,0.859942,-1.564369,1.381952,0.877732
9995,83.291667,-1.521441,1.376957,0.881350,-1.541243,1.373414,0.857425,-1.565253,1.381343,0.875941
9996,83.300000,-1.522175,1.376562,0.879634,-1.542064,1.373266,0.855457,-1.566015,1.380765,0.874296
9997,83.308333,-1.522880,1.376208,0.878117,-1.542704,1.372171,0.854330,-1.566735,1.380206,0.872778
9998,83.316667,-1.523450,1.375869,0.876697,-1.543273,1.371551,0.852915,-1.567310,1.379735,0.871380
9999,83.325000,-1.523804,1.375528,0.875458,-1.543708,1.371634,0.851353,-1.567757,1.379293,0.870158
10000,83.333333,-1.523999,1.375187,0.874388,-1.543819,1.370569,0.850643,-1.567965,1.378898,0.869053
10001,83.341667,-1.524009,1.374866,0.873318,-1.543527,1.370280,0.850066,-1.567951,1.378550,0.867985
10002,83.350000,-1.523929,1.374578,0.872403,-1.543675,1.369734,0.848756,-1.567818,1.378235,0.867029
10003,83.358333,-1.523724,1.374320,0.871612,-1.543484,1.369415,0.847996,-1.567572,1.377986,0.866228
10004,83.366667,-1.523448,1.374089,0.870972,-1.543341,1.369695,0.846951,-1.567292,1.377787,0.865574
10005,83.375000,-1.523208,1.373922,0.870464,-1.542637,1.369057,0.847281,-1.566975,1.377627,0.865012
10006,83.383333,-1.522944,1.373755,0.869939,-1.542630,1.368639,0.846327,-1.566658,1.377481,0.864474
10007,83.391667,-1.522735,1.373566,0.869455,-1.542103,1.368673,0.846299,-1.566434,1.377313,0.863967
10008,83.400000,-1.522563,1.373423,0.868948,-1.542215,1.368187,0.845367,-1.566267,1.377157,0.863453
10009,83.408333,-1.522452,1.373269,0.868484,-1.542088,1.367990,0.844914,-1.566135,1.376999,0.862969
10010,83.416667,-1.522381,1.373102,0.867985,-1.542256,1.368264,0.844000,-1.566046,1.376830,0.862420
10011,83.425000,-1.522193,1.372882,0.867486,-1.542114,1.368013,0.843502,-1.565933,1.376681,0.861924
10012,83.433333,-1.521967,1.372718,0.866944,-1.541890,1.367777,0.842992,-1.565678,1.376550,0.861388
10013,83.441667,-1.521732,1.372499,0.866388,-1.540996,1.367441,0.843393,-1.565492,1.376344,0.860853
10014,83.450000,-1.521495,1.372282,0.865786,-1.541053,1.366762,0.842273,-1.565204,1.376116,0.860208
10015,83.458333,-1.521262,1.372016,0.865250,-1.540503,1.366890,0.842208,-1.564983,1.375905,0.859595
10016,83.466667,-1.521051,1.371806,0.864605,-1.540331,1.366571,0.841560,-1.564729,1.375705,0.858983
10017,83.475000,-1.520837,1.371560,0.863976,-1.540077,1.366235,0.841018,-1.564533,1.375476,0.858318
10018,83.483333,-1.520674,1.371316,0.863311,-1.540602,1.366023,0.839417,-1.564370,1.375238,0.857670
10019,83.491667,-1.520578,1.371065,0.862624,-1.540486,1.365690,0.838779,-1.564268,1.374974,0.856958
10020,83.500000,-1.520434,1.370777,0.861932,-1.539646,1.365305,0.838930,-1.564152,1.374690,0.856225
10021,83.508333,-1.520321,1.370476,0.861122,-1.539563,1.364560,0.838062,-1.564005,1.374413,0.855441
10022,83.516667,-1.520214,1.370155,0.860193,-1.539480,1.364449,0.837273,-1.563918,1.374098,0.854515
10023,83.525000,-1.520105,1.369794,0.859251,-1.540024,1.364052,0.835479,-1.563799,1.373727,0.853513
10024,83.533333,-1.519915,1.369391,0.858303,-1.539885,1.363585,0.834556,-1.563580,1.373400,0.852586
10025,83.541667,-1.519713,1.369008,0.857333,-1.538882,1.362867,0.834379,-1.563330,1.373024,0.851609
10026,83.550000,-1.519473,1.368614,0.856363,-1.538784,1.362487,0.833390,-1.563155,1.372574,0.850592
10027,83.558333,-1.519288,1.368207,0.855484,-1.538545,1.362011,0.832460,-1.562939,1.372180,0.849618
10028,83.566667,-1.519085,1.367834,0.854620,-1.539025,1.361590,0.830980,-1.562737,1.371810,0.848755
10029,83.575000,-1.518884,1.367499,0.853896,-1.538787,1.361222,0.830234,-1.562532,1.371488,0.848006
10030,83.583333,-1.518712,1.367237,0.853299,-1.538652,1.360883,0.829642,-1.562396,1.371207,0.847356
10031,83.591667,-1.518603,1.367041,0.852807,-1.538531,1.360626,0.829192,-1.562272,1.370990,0.846875
10032,83.600000,-1.518498,1.366872,0.852488,-1.538376,1.360502,0.828864,-1.562156,1.370847,0.846528
10033,83.608333,-1.518413,1.366768,0.852335,-1.537563,1.360431,0.829335,-1.562066,1.370770,0.846341
10034,83.616667,-1.518360,1.366754,0.852331,-1.538258,1.360374,0.828652,-1.562006,1.370763,0.846308
10035,83.625000,-1.518319,1.366799,0.852405,-1.537477,1.360471,0.829404,-1.561961,1.370811,0.846401
10036,83.633333,-1.518281,1.366876,0.852596,-1.537410,1.360474,0.829586,-1.561933,1.370889,0.846588
10037,83.641667,-1.518241,1.366977,0.852872,-1.538139,1.360640,0.829215,-1.561898,1.371013,0.846876
10038,83.650000,-1.518194,1.367135,0.853204,-1.538087,1.360791,0.829560,-1.561800,1.371176,0.847225
10039,83.658333,-1.518022,1.367279,0.853638,-1.537921,1.361025,0.829981,-1.561654,1.371395,0.847652
10040,83.666667,-1.517733,1.367443,0.854139,-1.537627,1.361269,0.830432,-1.561406,1.371645,0.848136
10041,83.675000,-1.517326,1.367585,0.854688,-1.537197,1.361524,0.830924,-1.560999,1.371891,0.848651
10042,83.683333,-1.516787,1.367756,0.855243,-1.536654,1.361786,0.831466,-1.560428,1.372187,0.849170
10043,83.691667,-1.516142,1.367912,0.855730,-1.535982,1.361997,0.831965,-1.559768,1.372441,0.849676
10044,83.700000,-1.515387,1.367976,0.856219,-1.535243,1.362208,0.832399,-1.558986,1.372692,0.850141
10045,83.708333,-1.514515,1.368029,0.856651,-1.534417,1.362365,0.832823,-1.558135,1.372886,0.850547
10046,83.716667,-1.513584,1.368045,0.857045,-1.533448,1.362599,0.833183,-1.557123,1.373158,0.850949
10047,83.725000,-1.512554,1.368057,0.857445,-1.532425,1.362623,0.833579,-1.556078,1.373379,0.851305
10048,83.733333,-1.511408,1.368034,0.857842,-1.531271,1.362812,0.833926,-1.554896,1.373566,0.851668
10049,83.741667,-1.510230,1.368010,0.858203,-1.530106,1.362908,0.834268,-1.553536,1.373782,0.852019
10050,83.750000,-1.509087,1.367981,0.858624,-1.528950,1.362954,0.834650,-1.552401,1.373918,0.852307
10051,83.758333,-1.508032,1.367974,0.859055,-1.527864,1.363082,0.835019,-1.551345,1.374074,0.852611
10052,83.766667,-1.507016,1.367977,0.859478,-1.526171,1.363314,0.835808,-1.550360,1.374230,0.852965
10053,83.775000,-1.506088,1.367965,0.859938,-1.525250,1.363466,0.836210,-1.549405,1.374447,0.853404
10054,83.783333,-1.505260,1.367982,0.860389,-1.524623,1.363485,0.836336,-1.548535,1.374635,0.853818
10055,83.791667,-1.504498,1.368005,0.860890,-1.523586,1.363666,0.837095,-1.547730,1.374831,0.854281
10056,83.800000,-1.503782,1.368044,0.861340,-1.522902,1.363810,0.837419,-1.547039,1.375018,0.854752
