Format Version,1.1,Take Name,Take 2026-06-19 04.10.03 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-06-19 04.10.03.102 PM,Total Frames,36281,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker-10000,Marker-10000,Marker-10000,Marker-10001,Marker-10001,Marker-10001,Marker-10002,Marker-10002,Marker-10002
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702711","8392B20CF49E35702711","8392B20CF49E35702711","8392B20CF49E35702712","8392B20CF49E35702712","8392B20CF49E35702712"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
51,0.425000,-1.475740,1.378118,0.933954,-1.493968,1.383161,0.909959,-1.516753,1.392828,0.929119
52,0.433333,-1.475736,1.378120,0.933957,-1.493967,1.383162,0.909953,-1.516886,1.392758,0.929002
53,0.441667,-1.475726,1.378124,0.933960,-1.493945,1.383175,0.909967,-1.516885,1.392736,0.928975
54,0.450000,-1.475727,1.378129,0.933954,-1.493929,1.383194,0.909993,-1.516883,1.392749,0.928967
55,0.458333,-1.475737,1.378131,0.933952,-1.493932,1.383203,0.910004,-1.516733,1.392878,0.929111
56,0.466667,-1.475747,1.378134,0.933957,-1.493960,1.383190,0.909986,-1.516741,1.392883,0.929114
57,0.475000,-1.475733,1.378140,0.933957,-1.493890,1.383154,0.910010,-1.516727,1.392902,0.929124
58,0.483333,-1.475749,1.378205,0.933933,-1.493958,1.383243,0.909996,-1.516737,1.392920,0.929120
59,0.491667,-1.475833,1.378230,0.933964,-1.494414,1.383019,0.909412,-1.516822,1.392924,0.929110
60,0.500000,-1.476095,1.378321,0.933983,-1.494815,1.382943,0.909295,-1.517160,1.392997,0.929128
61,0.508333,-1.476489,1.378406,0.933881,-1.495065,1.383130,0.909408,-1.517567,1.393040,0.929132
62,0.516667,-1.476995,1.378584,0.933911,-1.495566,1.383223,0.909386,-1.518070,1.393098,0.929094
63,0.525000,-1.477948,1.378593,0.933472,-1.496238,1.383208,0.909234,-1.518611,1.393167,0.929028
64,0.533333,-1.478011,1.378916,0.933845,-1.496753,1.383311,0.909311,-1.519328,1.393066,0.928871
65,0.541667,-1.478440,1.379037,0.933916,-1.496717,1.383815,0.910063,-1.519699,1.393272,0.929048
66,0.550000,-1.478903,1.379231,0.934053,-1.497133,1.383988,0.910299,-1.520195,1.393345,0.929215
67,0.558333,-1.479297,1.379336,0.934258,-1.497560,1.384180,0.910625,-1.520615,1.393418,0.929458
68,0.566667,-1.479633,1.379464,0.934568,-1.497890,1.384327,0.910980,-1.520963,1.393484,0.929856
69,0.575000,-1.480006,1.379685,0.935033,-1.498918,1.383954,0.910466,-1.521313,1.393532,0.930372
70,0.583333,-1.480368,1.379834,0.935491,-1.499412,1.384170,0.910868,-1.521706,1.393596,0.930868
71,0.591667,-1.480911,1.380084,0.935835,-1.499219,1.384861,0.912305,-1.522301,1.393669,0.931301
72,0.600000,-1.481527,1.380282,0.936139,-1.499884,1.385162,0.912752,-1.522988,1.393717,0.931668
73,0.608333,-1.482299,1.380543,0.936529,-1.500669,1.385374,0.913103,-1.523830,1.393810,0.932039
74,0.616667,-1.483210,1.380877,0.936812,-1.502459,1.384988,0.912186,-1.524765,1.393875,0.932355
75,0.625000,-1.484241,1.381206,0.937048,-1.502668,1.385947,0.913732,-1.525881,1.393998,0.932636
76,0.633333,-1.485394,1.381534,0.937252,-1.503873,1.386133,0.913863,-1.527081,1.394103,0.932851
77,0.641667,-1.486622,1.381887,0.937446,-1.505936,1.385909,0.912941,-1.528412,1.394221,0.933044
78,0.650000,-1.487974,1.382262,0.937591,-1.506665,1.386708,0.914259,-1.529876,1.394342,0.933270
79,0.658333,-1.489424,1.382636,0.937757,-1.508129,1.386907,0.914434,-1.531405,1.394429,0.933449
80,0.666667,-1.490975,1.383067,0.937923,-1.509704,1.387179,0.914645,-1.533027,1.394518,0.933643
81,0.675000,-1.492532,1.383456,0.938111,-1.511455,1.387412,0.914801,-1.534700,1.394595,0.933942
82,0.683333,-1.494089,1.383820,0.938442,-1.513113,1.387700,0.915084,-1.536386,1.394690,0.934301
83,0.691667,-1.495780,1.384259,0.938802,-1.515161,1.387902,0.915044,-1.538156,1.394730,0.934783
84,0.700000,-1.497447,1.384680,0.939251,-1.516853,1.388162,0.915502,-1.539928,1.394797,0.935256
85,0.708333,-1.499157,1.385125,0.939709,-1.518595,1.388771,0.915914,-1.541716,1.394855,0.935776
86,0.716667,-1.500832,1.385511,0.940259,-1.520367,1.389076,0.916467,-1.543541,1.394859,0.936356
87,0.725000,-1.502551,1.385888,0.940861,-1.522125,1.389415,0.917070,-1.545332,1.394887,0.936995
88,0.733333,-1.504286,1.386247,0.941459,-1.524406,1.389723,0.917026,-1.547392,1.395173,0.937419
89,0.741667,-1.506005,1.386583,0.942079,-1.525649,1.390025,0.918282,-1.548907,1.394870,0.938424
90,0.750000,-1.507697,1.386863,0.942669,-1.527866,1.390185,0.918336,-1.550948,1.395126,0.938800
91,0.758333,-1.509190,1.387041,0.943236,-1.529067,1.390286,0.919232,-1.552334,1.394863,0.939743
92,0.766667,-1.510189,1.387178,0.943828,-1.530356,1.390528,0.919603,-1.553726,1.395138,0.940073
93,0.775000,-1.510963,1.387309,0.944460,-1.531154,1.390656,0.920214,-1.554484,1.395129,0.940690
94,0.783333,-1.511480,1.387377,0.945064,-1.531642,1.390766,0.920836,-1.554988,1.395121,0.941285
95,0.791667,-1.511717,1.387430,0.945642,-1.531866,1.390845,0.921387,-1.555254,1.395087,0.941871
